surface	freq	in_cache	in_dict	cache_form	split
고분군	8	N	Y		고분/NNG+군/NNG
프레임워크	7	N	Y		프레임/NNG+워크/NNG
우주비행사	7	N	N		우주/NNG+비행사/NNG
국방장관	6	N	Y		국방/NNG+장관/NNG
국악과	6	N	Y		국악/NNG+과/NNG
분석법	5	N	Y		분석/NNG+법/NNG
경호실장	5	N	Y		경호/NNG+실장/NNG
동의안	5	N	Y		동의/NNG+안/NNG
협성회	5	N	Y		협성/NNG+회/NNG
해결법	5	N	Y		해결/NNG+법/NNG
고문직	4	N	Y		고문/NNG+직/NNG
반공주의자	4	N	Y		반공/NNG+주의자/NNG
총재직	4	N	Y		총재/NNG+직/NNG
총리직	4	N	Y		총리/NNG+직/NNG
온도차	4	N	N		온도/NNG+차/NNG
재정정책	4	N	N		재정/NNG+정책/NNG
피아노곡	4	N	Y		피아노/NNG+곡/NNG
분기군	4	N	Y		분기/NNG+군/NNG
경기침체	4	N	N		경기/NNG+침체/NNG
세속주의	4	N	Y		세속/NNG+주의/NNG
연안부	4	N	Y		연안/NNG+부/NNG
분광법	4	N	N		분광/NNG+법/NNG
거시경제	4	N	N		거시/NNG+경제/NNG
홀극	3	N	Y		홀/NNG+극/NNG
교수직	3	N	Y		교수/NNG+직/NNG
재무부	3	N	Y		재무/NNG+부/NNG
의원직	3	N	Y		의원/NNG+직/NNG
일반구	3	N	Y		일반/NNG+구/NNG
중남부	3	N	Y		중/NNG+남부/NNG
법학과	3	N	Y		법학/NNG+과/NNG
기준금리	3	N	N		기준/NNG+금리/NNG
부존량	3	N	N		부존/NNG+량/NNG
출판부	3	N	Y		출판/NNG+부/NNG
외부효과	3	N	N		외부/NNG+효과/NNG
무역액	3	N	Y		무역/NNG+액/NNG
선공개	3	N	Y		선/NNG+공개/NNG
체굴	3	N	Y		체/NNG+굴/NNG
공주목	3	N	Y		공주/NNG+목/NNG
외환보유고	3	N	N		외환/NNG+보유고/NNG
사전학습	3	N	N		사전/NNG+학습/NNG
주유비	3	N	Y		주유/NNG+비/NNG
마이닝	2	N	N		마/NNG+이닝/NNG
여성주의	2	N	Y		여성/NNG+주의/NNG
여소야대	2	N	Y		여소/NNG+야대/NNG
행정구	2	N	Y		행정/NNG+구/NNG
생물학과	2	N	Y		생물학/NNG+과/NNG
경찰서장	2	N	Y		경찰/NNG+서장/NNG
제조업체	2	Y	Y	josa:제조업체인	제조/NNG+업체/NNG
메인프레임	2	N	Y		메인/NNG+프레임/NNG
사장직	2	N	Y		사장/NNG+직/NNG
위원장직	2	N	Y		위원장/NNG+직/NNG
권고안	2	N	Y		권고/NNG+안/NNG
디코딩	2	N	Y		디/NNG+코딩/NNG
의류업체	2	N	Y		의류/NNG+업체/NNG
사학과	2	N	Y		사학/NNG+과/NNG
도시고속도로	2	N	Y		도시/NNG+고속도로/NNG
개발업자	2	N	Y		개발/NNG+업자/NNG
메인보드	2	N	Y		메인/NNG+보드/NNG
웨어하우스	2	N	N		웨어/NNG+하우스/NNG
동아리방	2	N	Y		동아리/NNG+방/NNG
면역세포	2	N	N		면역/NNG+세포/NNG
현대시	2	N	Y		현대/NNG+시/NNG
제한법	2	N	Y		제한/NNG+법/NNG
중후반	2	N	Y		중/NNG+후반/NNG
진입점	2	N	N		진입/NNG+점/NNG
검토서	2	N	Y		검토/NNG+서/NNG
생산업체	2	N	Y		생산/NNG+업체/NNG
샌드박스	2	N	Y		샌드/NNG+박스/NNG
스토리지	2	N	Y		스토리/NNG+지/NNG
신학부	2	N	Y		신학/NNG+부/NNG
농지법	2	N	Y		농지/NNG+법/NNG
핵물질	2	N	Y		핵/NNG+물질/NNG
전면부	2	N	Y		전면/NNG+부/NNG
영관급	2	N	Y		영관/NNG+급/NNG
환자군	2	N	N		환자/NNG+군/NNG
타이틀곡	2	N	Y		타이틀/NNG+곡/NNG
식물학자	2	N	Y		식물/NNG+학자/NNG
치료약	2	N	Y		치료/NNG+약/NNG
제정안	2	N	Y		제정/NNG+안/NNG
태양빛	2	N	Y		태양/NNG+빛/NNG
혈관조영술	2	N	N		혈관/NNG+조영술/NNG
시민운동가	2	N	Y		시민/NNG+운동가/NNG
태자당	2	N	Y		태자/NNG+당/NNG
예술상	2	N	Y		예술/NNG+상/NNG
메트릭	2	N	N		메/NNG+트릭/NNG
읍면	2	N	Y		읍/NNG+면/NNG
도감청	2	N	Y		도/NNG+감청/NNG
스쿨존	2	N	Y		스쿨/NNG+존/NNG
유사도	2	N	Y		유사/NNG+도/NNG
명목금리	2	N	N		명목/NNG+금리/NNG
네임스페이스	2	N	N		네임/NNG+스페이스/NNG
